Name.1,Folder Path
Memnoch the Devil,A:\Anne Rice\_Vampire Chronicles Series\05-Memnoch the Devil\
Pandora,A:\Anne Rice\_Vampire Chronicles Series\06-Pandora\
The Vampire Armand,A:\Anne Rice\_Vampire Chronicles Series\07-The Vampire Armand\
Vittorio the Vampire,A:\Anne Rice\_Vampire Chronicles Series\08-Vittorio the Vampire\
Merrick,A:\Anne Rice\_Vampire Chronicles Series\09-Merrick\
Blood and Gold,A:\Anne Rice\_Vampire Chronicles Series\10-Blood and Gold\
The Witching Hour,A:\Anne Rice\_Vampire Chronicles Series\11-The Witching Hour\
Lasher,A:\Anne Rice\_Vampire Chronicles Series\12-Lasher\
Taltos,A:\Anne Rice\_Vampire Chronicles Series\13-Taltos\
Blackwood Farm,A:\Anne Rice\_Vampire Chronicles Series\14-Blackwood Farm\
Blood Canticle,A:\Anne Rice\_Vampire Chronicles Series\15-Blood Canticle\
Ruthless,A:\Anne Stuart\_House of Rohan\1 - Ruthless\
Reckless,A:\Anne Stuart\_House of Rohan\2 - Reckless\
Breathless,A:\Anne Stuart\_House of Rohan\3 - Breathless\
Shameless,A:\Anne Stuart\_House of Rohan\4 - Shameless\
Red Winter,A:\Annette Marie\_Red Winter Series\01 - Red Winter\
Dark Tempest,A:\Annette Marie\_Red Winter Series\02 - Dark Tempest\
Warping Minds & Other Misdemeanors,A:\Annette Marie\_The Guild Codex Warped Series\01 - Warping Minds & Other Misdemeanors\
A Phoenix First Must Burn,A:\Anthologies\A Phoenix First Must Burn\Ready\
A Vampire for Christmas,A:\Anthologies\A Vampire for Christmas\
Angels of Darkness,A:\Anthologies\Angels of Darkness\
Chicks Kick Butt,A:\Anthologies\Chicks Kick Butt\Chicks Kick Butt\
Classic American Short Stories,A:\Anthologies\Classic American Short Stories\
Dangerous Women,A:\Anthologies\Dangerous Women\
Dark and Stormy Knights,A:\Anthologies\Dark and Stormy Knights\
Death's Excellent Vacation,A:\Anthologies\Death's Excellent Vacation\
Down These Strange Streets,A:\Anthologies\Down These Strange Streets\
Fantastic Hope,A:\Anthologies\Fantastic Hope\
Hexed,A:\Anthologies\Hexed\
In the Shadow of Frankenstein,A:\Anthologies\In the Shadow of Frankenstein\
Many Bloody Returns,A:\Anthologies\Many Bloody Returns\
Must Love Hellhounds,A:\Anthologies\Must Love Hellhounds\
My Big Fat Supernatural Honeymoon,A:\Anthologies\My Big Fat Supernatural Honeymoon\
My Big Fat Supernatural Wedding,A:\Anthologies\My Big Fat Supernatural Wedding\
Naked City,A:\Anthologies\Naked City\
Naughty and Nice,A:\Anthologies\Naughty and Nice\
Night Shift,A:\Anthologies\Night Shift\
Primal Heat,A:\Anthologies\Primal Heat\
Wolfe's Hope,A:\Anthologies\Primal Heat\
Shards of Crimson,A:\Anthologies\Shards of Crimson\
Slasher Girls ,A:\Anthologies\Slasher Girls and Monster Boys\
Steampunk,A:\Anthologies\Steampunk\
Strange Brew,A:\Anthologies\Strange Brew\
Supernatural,A:\Anthologies\Supernatural\
The Eternal Kiss  Twelve Vampire Tales of Blood and Desire,A:\Anthologies\The Eternal Kiss  Twelve Vampire Tales of Blood and Desire\
The Improbable Adventures of Sherlock Holmes,A:\Anthologies\The Improbable Adventures of Sherlock Holmes\
Mad Scientist's Guide to World Domination,A:\Anthologies\The Mad Scientist's Guide to World Domination\
Frost Moon,A:\Anthony Francis\_Skindancer Series\01 - Frost Moon\
Blood Song,A:\Anthony Ryan\_Raven's Shadow Series\01 - Blood Song\
Veritas,"A:\Ariel Sabar\Veritas - A Harvard Professor, A Con Man, and the Gospels of Jesus's Wife\"
A Memory Called Empire,A:\Arkady Martine\_Teixcalaan Series\01 - A Memory Called Empire\
The Last Theorem,A:\Arthur C. Clark\The Last Theorem\
The Hound of the Baskervilles,A:\Arthur Conan Doyle\_Sherlock Holmes Series\The Hound of the Baskervilles\
The Lost World,A:\Arthur Conan Doyle\The Lost World\
Resurrection,A:\Arwen Elys Dayton\Resurrection\
Flirting Under a Full Moon,A:\Ashlyn Chase\_Flirting with Fangs Trilogy\01 - Flirting Under a Full Moon\
Upon a Burning Throne,A:\Ashok K. Banker\_Burnt Empire Saga\01 - Upon a Burning Throne\
A Dark Queen Rises,A:\Ashok K. Banker\_Burnt Empire Saga\02 - A Dark Queen Rises\
The Vanishing Deep,A:\Astrid Scholte\The Vanishing Deep\
"Bluebird, Bluebird","A:\Attica Locke\Bluebird, Bluebird\"
I'm Still Here,A:\Austin Channing Brown\I'm Still Here\
Atlas Shrugged,A:\Ayn Rand\Atlas Shrugged\
A Beginner's Guide to the End,A:\B. J. Miller & Shoshana Berger\A Beginner's Guide to the End\
Shadow Hunter,A:\B. R. Kingsolver\_Rosie O'Grady's Paranormal Bar and Grill Series\01 - Shadow Hunter\
Rogue Princess,A:\B. R. Myers\Rogue Princess\
Erotic Stories for Punjabi Widows,A:\Balli Kaur Jaswal\Erotic Stories for Punjabi Widows\
Thief of Lives,A:\Barb & J.C. Hendee\_Noble Dead Series\02 - Thief of Lives\
The Bean Trees,A:\Barbara Kingsolver\_Turtle Series\1 - The Bean Trees\
Pigs in Heaven,A:\Barbara Kingsolver\_Turtle Series\2 - Pigs in Heaven\
The Poisonwood Bible,A:\Barbara Kingsolver\The Poisonwood Bible\
Heart of the Druid Laird,A:\Barbara Longley\Heart of the Druid Laird\
Ace of Hearts,A:\Barbara Metzger\Ace of Hearts\
Someone in the House,A:\Barbara Michaels\Someone in the House\
Faultlines,A:\Barbara Taylor Sissel\Faultlines\
Forged,A:\Bart Ehrman\Forged\
God's Problem,A:\Bart Ehrman\God's Problem\
"Jesus, Interrupted","A:\Bart Ehrman\Jesus, Interrupted\"
Misquoting Jesus: The Story Behind Who Changed the Bible and Why,A:\Bart Ehrman\Misquoting Jesus - The Story Behind Who Changed the Bible and Why\
Truth and Fiction in the Da Vinci Code,A:\Bart Ehrman\Truth and Fiction in the Da Vinci Code\
A Brief History of Infinity,A:\BBC Radio Documentary\A Brief History of Infinity\
An Utterly Impartial History of Britain,A:\BBC Radio Documentary\An Utterly Impartial History of Britain\
Bram Stoker,A:\BBC Radio Documentary\Bram Stoker\
Dead Sea Scrolls Revisited,A:\BBC Radio Documentary\Dead Sea Scrolls Revisited\
Humans in Space,A:\BBC Radio Documentary\Humans in Space\
 The Curious Case of the Clockwork Menace,A:\Bec McMaster\_London Steampunk Series\035 - The Curious Case of the Clockwork Menace\
Forged by Desire,A:\Bec McMaster\_London Steampunk Series\04 - Forged by Desire\
Of Silk and Steam,A:\Bec McMaster\_London Steampunk Series\05 - Of Silk and Steam\
A Psalm for the Wild-Built,A:\Becky Chambers\_Monk & Robot Series\01 - A Psalm for the Wild-Built\
Teaching to Transgress,A:\bell hooks\Teaching to Transgress\
Midnight Riot,A:\Ben Aaronovitch\_Rivers of London Series\01 - Midnight Riot\
Undone,A:\Ben Moor\Undone\
Android Karenina,A:\Ben Winters\Android Karenina\
Stonehenge,A:\Bernard Cornwell\Stonehenge\
A Song Below Water,A:\Bethany C. Morrow\_A Song Below Water Series\01 - A Song Below Water\
We Want to Do More Than Survive,A:\Bettina Love\We Want to Do More Than Survive\
The Other Madisons,A:\Bettye Kearse\The Other Madisons\
Sanctuary,A:\Beverly Barton\_Raintree Series\03 - Sanctuary\
Indigo,A:\Beverly Jenkins\Indigo\
A Short History of Nearly Everything,A:\Bill Bryson\A Short History of Nearly Everything\
A Walk in the Woods,A:\Bill Bryson\A Walk in the Woods\
In a Sunburned Country,A:\Bill Bryson\In a Sunburned Country\
Journeys in English,A:\Bill Bryson\Journeys in English\
Made in America,A:\Bill Bryson\Made in America\
Notes From A Small Island,A:\Bill Bryson\Notes From A Small Island\
Shakespeare: The World as Stage,A:\Bill Bryson\Shakespeare - The World as Stage\
The Body,A:\Bill Bryson\The Body\
The Life and Times of the Thunderbolt Kid ,A:\Bill Bryson\The Life & Times of the Thunderbolt Kid\
Openly Straight,A:\Bill Konigsberg\_Openly Straight Series\Openly Straight\
The Bughouse Affair,A:\Bill Pronzini & Marcia Muller\_Carpenter and Quincannon Mysteries\1 - The Bughouse Affair\
The Curse of Crow Hollow,A:\Billy Coffey\The Curse of Crow Hollow\
The Nobody People,A:\Bob Proehl\_The Resonant Duology\01 - The Nobody People\
The Somebody People,A:\Bob Proehl\_The Resonant Duology\02 - The Somebody People\
A Hundred Thousand Words,A:\Bob Proehl\A Hundred Thousand Words\
Redeeming Stanley,A:\Bodie Parkhurst\Redeeming Stanley\
The First Conspiracy,A:\Brad Meltzer & Josh Mensch\The First Conspiracy\
The Final Empire,A:\Brandon Sanderson\_Mistborn Series\01 - The Final Empire\
The Way of Kings,A:\Brandon Sanderson\_Stormlight Archives\01 - The Way of Kings\
Mr. Humble and Dr. Butcher,A:\Brandy Shillace\Mr. Humble and Dr. Butcher\
Dark Lover,A:\Brenda Joyce\_Masters of Time Series\5 - Dark Lover\
The Replacement,A:\Brenna Yovanoff\_The Replacement Series\1 - The Replacement\
The Black Prism,A:\Brent Weeks\_Lightbringer Series\01 - The Black Prism\
Man in His Time,A:\Brian Aldiss\Man in His Time\
Song of the Silencer,A:\Brian Aldiss\Song of the Silencer\
Until the End of Time,A:\Brian Greene\Until the End of Time\
A Study in Charlotte,A:\Brittany Cavallaro\_Charlotte Holmes Series\01 - A Study in Charlotte\
The Last of August,A:\Brittany Cavallaro\_Charlotte Holmes Series\02 - The Last of August\
The Case for Jamie,A:\Brittany Cavallaro\_Charlotte Holmes Series\03 - The Case for Jamie\
A Question of Holmes,A:\Brittany Cavallaro\_Charlotte Holmes Series\04 - A Question of Holmes\
The Adventures of Luther Arkwright,A:\Bryan Talbot\The Adventures of Luther Arkwright\
Hands of Flame,A:\C. E. Murphy\_Negotiator Series\3 - Hands of Flame\
Urban Shaman,A:\C. E. Murphy\_Walker Paper Series\01 - Urban Shaman\
Walking Dead,A:\C. E. Murphy\_Walker Paper Series\04 - Walking Dead\
Demon Hunts,A:\C. E. Murphy\_Walker Paper Series\05 - Demon Hunts\
Spirit Dances,A:\C. E. Murphy\_Walker Paper Series\06 - Spirit Dances\
Raven Calls,A:\C. E. Murphy\_Walker Paper Series\07 - Raven Calls\
Mountain Echoes,A:\C. E. Murphy\_Walker Paper Series\08 - Mountain Echoes\
The Magician's Diary,A:\C. J. Archer\_Glass and Steele Series\04  - The Magician's Diary\
The Kidnapper's Accomplice,A:\C. J. Archer\_Glass and Steele Series\10 - The Kidnapper's Accomplice\
Lord of the Fading Lands,A:\C. L. Wilson\_Tairen Souls Series\01 - Lord of the Fading Lands\
Lady of Light and Shadows,A:\C. L. Wilson\_Tairen Souls Series\02 - Lady of Light and Shadows\
Desdemona and the Deep,A:\C. S. E. Cooney\_Dark Breakers Series\3 - Desdemona and the Deep\
When Gods Die,A:\C. S. Harris\_Sebastian St. Cyr Series\02 - When Gods Die\
Will My Cat Eat My Eyeballs,A:\Caitlin Doughty\Will My Cat Eat My Eyeballs - Big Questions from Tiny Mortals\
The Red Tree,A:\Caitlin Kiernan\The Red Tree\
The Iron Thorn,A:\Caitlin Kittredge\_The Iron Codex Series\1-The Iron Thorn\
Pale Blue Dot,A:\Carl Sagan\Pale Blue Dot\
Seven Brief Lessons on Physics,A:\Carlo Rovelli\Seven Brief Lessons on Physics\
The Shadow of the Wind,A:\Carlos Ruiz Zafon\_Cemetery of Lost Books Series\01 - The Shadow of the WInd\
The Angel's Game,A:\Carlos Ruiz Zafon\_Cemetery of Lost Books Series\02 - The Angel's Game\
The Prisoner of Heaven,A:\Carlos Ruiz Zafon\_Cemetery of Lost Books Series\03 - The Prisoner of Heaven\
The Prince of Mist,A:\Carlos Ruiz Zafon\_Niebla Series\1 - The Prince of Mists\
The Midnight Palace,A:\Carlos Ruiz Zafon\_Niebla Series\2 - The Midnight Palace\
Her Body and Other Parties,A:\Carmen Maria Machado\Her Body and Other Parties\
Mindset,A:\Carol S. Dweck\Mindset (2009)\
The Thieves of Ostia,A:\Caroline Lawrence\_Roman Mysteries\
A Darker Crimson,A:\Carolyn Jewel\_Crimson City Series\04 - A Darker Crimson\
DX,A:\Carolyn Jewel\_Crimson City Series\073 - DX (From Shards of Crimson)\
From Breath and Ruin,A:\Carrie Ryan\_Elements of Five Series\01 - From Breath and Ruin\
The Forest of Hands and Teeth,A:\Carrie Ryan\_The Forest of Hands and Teeth Series\1-The Forest of Hands and Teeth\
Kitty Goes to War,A:\Carrie Vaughn\_Kitty Norville Series\08 - Kitty Goes to War\
Kitty's Big Trouble,A:\Carrie Vaughn\_Kitty Norville Series\09 - Kitty's Big Trouble\
Discord's Apple,A:\Carrie Vaughn\Discord's Apple\
"We, the Drowned","A:\Carsten Jensen\We, the Drowned\"
Nightshifted,A:\Cassie Alexander\_Edie Spence Series\01 - Nightshifted\
Blood Song,A:\Cat Adams\_Blood Singer Series\01 - Blood Song\
Unforgiven,A:\Cat Miller\_Forbidden Bond Series\02-Unforgiven\
The Cure for Dreaming,A:\Cat Winters\A Cure for Dreaming\
Sapphique,A:\Catherine Fisher\_Incarceron Series\02 - Sapphique\
Say Goodbye for Now,A:\Catherine Ryan Hyde\Say Goodbye for Now\
The Habitation of the Blessed,A:\Catherynne M. Valente\_Prester John Series\1-The Habitation of the Blessed\
Space Opera,A:\Catherynne M. Valente\Space Opera\
Real Murders,A:\Charlaine Harris\_Aurora Teagarden Series\1 - Real Murders\
Bone To Pick,A:\Charlaine Harris\_Aurora Teagarden Series\2 - Bone to Pick\
Three Bedrooms. One Corplse,"A:\Charlaine Harris\_Aurora Teagarden Series\3 - Three Bedrooms, One Corpse\"
The Julius House,A:\Charlaine Harris\_Aurora Teagarden Series\4 - The Julius House\
Dead Over Heels,A:\Charlaine Harris\_Aurora Teagarden Series\5 - Dead Over Heels\
A Fool and His Honey,A:\Charlaine Harris\_Aurora Teagarden Series\6 - A Fool and His Honey\
Last Scene Alive,A:\Charlaine Harris\_Aurora Teagarden Series\7 - Last Scene Alive\
Poppy Done to Death,A:\Charlaine Harris\_Aurora Teagarden Series\8 - Poppy Done to Death\
Dead to the World,A:\Charlaine Harris\_Sookie Stackhouse Series\04 - Dead to the World\
Definitely Dead,A:\Charlaine Harris\_Sookie Stackhouse Series\06 - Definitely Dead\
From Dead to Worse,A:\Charlaine Harris\_Sookie Stackhouse Series\08 - From Dead to Worse\
A Touch of Dead,A:\Charlaine Harris\_Sookie Stackhouse Series\A Touch of Dead\
The Sookie Stackhouse Companion,A:\Charlaine Harris\_Sookie Stackhouse Series\The Sookie Stackhouse Companion\
You,A:\Charles Benoit\You\
1491: New Revelations of the Americas Before Columbus ,A:\Charles C. Mann\1491\
Dreams Underfoot,A:\Charles de Lint\_Newford Series\01 - Dreams Underfoot\
A Tale of Two Cities,A:\Charles Dickens\A Tale of Two Cities\
A Beautiful Blue Death,A:\Charles Finch\_Charles Lenox Mysteries\01 - A Beautiful Blue Death\
The Glass Magician,A:\Charlie N. Holmberg\_The Paper Magician Series\02 -The Glass Magician\
Jane Eyre,A:\Charlotte Bronte\Jane Eyre\
Addicted,A:\Charlotte Featherstone\_Addicted Series\1 - Addicted\
Sinful,A:\Charlotte Featherstone\_Addicted Series\2 - Sinful\
Lust,A:\Charlotte Featherstone\_The Sins and the Virtues Series\01 - Lust\
Bloodshot,A:\Cherie Priest\_Chesire Red Reports Series\01-Bloodshot\
Hellbent,A:\Cherie Priest\_Chesire Red Reports Series\02-Hellbent\
